Country Name,Series Name,1998,2000,2002,2004,2012,2014,2016,2018,2020,2021,Continent,Region
Japan,GDP (current US$),4098362709531.24,4968359075956.59,4182846045873.61,4893116005656.56,6272362996105.03,4896994405353.29,5003677627544.24,5037835383110.97,5040107754084.11,4937421880461.55,Asia,Asia
Japan,GDP growth (annual %),-1.27033049463975,2.76464755143648,0.041962499312561,2.1861156944216,1.37475099920874,0.296205514142628,0.753826745903538,0.584068067242868,-4.50690454226634,1.62079552541303,Asia,Asia
Japan,GDP per capita (current US$),32423.7556133801,39169.3595701504,32820.7936433254,38298.9801712303,49145.2804308193,38475.3952461838,39375.4731620781,39727.1165995928,39918.1675583443,39285.1631062756,Asia,Asia
Japan,"Inflation, consumer prices (annual %)",0.661974191385979,-0.676578683595068,-0.923494026942322,-0.00857338820302,-0.044064510443303,2.75922671353253,-0.127258844489691,0.989094598021806,-0.024995834027659,-0.233352779398279,Asia,Asia
Japan,"Population, total",126400000,126843000,127445000,127761000,127629000,127276000,127076000,126811000,126261000,125681593,Asia,Asia
Japan,Surface area (sq. km),377800,377800,377890,377910,377960,377962,377970,377974,377974,,Asia,Asia
Japan,Imports of goods and services (current US$),353663297055.199,452064900176.773,401205059495.326,532277504089.913,1007099152148.38,980024678767.845,763174802438.923,922228472388.616,796344955871.704,,Asia,Asia
Japan,Exports of goods and services (current US$),425156200703.868,519863963884.546,454066577343.924,625646760881.018,904146988796.653,852990577902.813,803489014102.661,923234601723.625,784167900504.685,,Asia,Asia
South Korea,GDP (current US$),383330931042.356,576178114168.494,627246081417.004,793175007858.066,1278427634342.59,1484318219633.63,1500111596236.37,1724845615629.26,1637895802792.9,1798533915091.14,Asia,Asia
South Korea,GDP growth (annual %),-5.12944816520964,9.06083332508534,7.72514267547173,5.19739136324382,2.40253099246186,3.2024537945736,2.94688171508626,2.90740377377135,-0.852031428863825,4.02115847345807,Asia,Asia
South Korea,GDP per capita (current US$),8281.69998157684,12256.9935679503,13165.0657360554,16496.1200942502,25466.7605170594,29249.5752209742,29288.8704389833,33436.9230646064,31597.5046490718,34757.7200705078,Asia,Asia
South Korea,"Inflation, consumer prices (annual %)",7.51358008079306,2.25916580080153,2.76226210296605,3.59066298882577,2.18707104433313,1.27477446401322,0.97168573991219,1.47583935002643,0.537288023411772,2.49833333333334,Asia,Asia
South Korea,"Population, total",46286503,47008111,47644736,48082519,50199853,50746659,51217803,51585058,51836239,51744876,Asia,Asia
